iter	adv_short	mi_short	adv_med	mi_med	ent_long	sense_short	intra_short	adv_avg_short	sense_med	w_adv	w_mi	w_div	w_sense	w_intra	w_cons_floor	w_norm	ks_dom_score	ks_sit_score	ks_hist_score	ks_topo_score	ks_dom_weight	ks_sit_weight	ks_hist_weight	ks_topo_weight	ks_winner	ks_win_dom	ks_win_sit	ks_win_hist	ks_win_topo
3300.000000	0.005710	0.000715	0.008036	0.000124	-0.001073	0.000305	-0.003103	-0.006039	-0.000045	0.730000	0.100000	0.380000	0.101133	0.300000	0.100000	0.040000	1.032190	0.996796	1.005710	1.000000	0.252951	0.248514	0.249624	0.248912	0.000000	3277.000000	0.000000	24.000000	0.000000
3400.000000	0.000437	-0.002218	-0.007189	-0.000875	0.000044	-0.000255	0.004703	0.008305	-0.000226	0.530000	0.184026	0.458994	0.105653	0.150000	0.100000	0.040000	1.040405	1.000892	1.000422	1.007172	0.253539	0.248579	0.248521	0.249361	0.000000	3367.000000	0.000000	34.000000	0.000000
3500.000000	-0.002743	0.000594	0.006116	0.000090	-0.000333	-0.000012	0.002671	-0.001269	0.000135	0.593461	0.100000	0.448269	0.100000	0.150000	0.100000	0.040000	1.032290	1.001076	1.000000	1.000000	0.253006	0.249088	0.248953	0.248953	0.000000	3458.000000	0.000000	43.000000	0.000000
3600.000000	-0.005776	-0.001594	-0.001454	-0.000223	0.000188	-0.001067	0.005237	0.006115	-0.000217	0.530000	0.152279	0.466930	0.105421	0.150000	0.100000	0.040000	1.034038	1.003694	0.999937	1.001379	0.253047	0.249236	0.248769	0.248948	0.000000	3558.000000	0.000000	43.000000	0.000000
3700.000000	-0.021973	0.000275	-0.000633	-0.000016	-0.000524	0.000408	0.009485	-0.020901	0.000061	0.730000	0.100318	0.379921	0.100000	0.150000	0.100000	0.040000	1.032913	1.010970	1.000000	1.000633	0.252732	0.249975	0.248607	0.248686	0.000000	3658.000000	0.000000	43.000000	0.000000
3800.000000	0.003203	0.000716	0.004561	0.000566	-0.000475	0.000194	-0.003869	0.003079	0.000055	0.530000	0.100000	0.480000	0.100000	0.300000	0.100000	0.040000	1.032271	0.998043	1.003203	1.000000	0.252998	0.248705	0.249348	0.248949	0.000000	3758.000000	0.000000	43.000000	0.000000
3900.000000	0.009333	0.000759	-0.001217	-0.000750	0.000439	0.000758	-0.008799	0.000783	-0.000336	0.530000	0.115007	0.476248	0.108388	0.300000	0.100000	0.040000	1.034362	0.994976	1.009185	1.001041	0.253071	0.248136	0.249905	0.248889	0.000000	3858.000000	0.000000	43.000000	0.000000
4000.000000	0.004310	-0.001921	0.001966	-0.000361	-0.000011	-0.001650	0.011141	0.005726	-0.000305	0.530000	0.164842	0.463789	0.107619	0.150000	0.100000	0.040000	1.032695	0.998811	1.004310	1.000000	0.252979	0.248729	0.249414	0.248877	0.000000	3958.000000	0.000000	43.000000	0.000000
4100.000000	0.028105	0.000030	0.002342	0.000086	-0.000006	0.000440	-0.000666	0.014818	0.000065	0.530000	0.100000	0.480000	0.100000	0.216612	0.100000	0.040000	1.032335	0.986128	1.028105	1.000000	0.252588	0.246820	0.252055	0.248537	0.000000	4058.000000	0.000000	43.000000	0.000000
4200.000000	-0.004381	-0.003251	0.000099	-0.000279	0.000299	-0.001300	0.003257	-0.001093	-0.000157	0.584636	0.203108	0.426905	0.103925	0.150000	0.100000	0.040000	1.032655	1.003824	0.999901	0.999881	0.252960	0.249340	0.248851	0.248849	0.000000	4158.000000	0.000000	43.000000	0.000000
4300.000000	0.015167	0.002243	-0.001229	-0.000384	0.000522	0.001215	-0.000952	0.009884	-0.000023	0.530000	0.107673	0.478082	0.100574	0.245212	0.100000	0.040000	1.034019	0.991353	1.014991	1.001021	0.252969	0.247629	0.250573	0.248829	0.000000	4258.000000	0.000000	43.000000	0.000000
4400.000000	0.002439	0.000042	0.002116	0.000112	-0.000368	0.000240	-0.000935	0.006829	0.000383	0.530000	0.100000	0.480000	0.100000	0.243524	0.100000	0.040000	1.032285	0.998761	1.002439	1.000000	0.253001	0.248796	0.249254	0.248950	0.000000	4358.000000	0.000000	43.000000	0.000000
4500.000000	-0.002835	-0.001335	0.000471	0.000693	-0.000026	-0.000481	0.002283	-0.001653	0.000252	0.612631	0.140039	0.428675	0.100000	0.150000	0.100000	0.040000	1.032332	1.002087	1.000000	1.000000	0.252978	0.249181	0.248921	0.248921	0.000000	4458.000000	0.000000	43.000000	0.000000
4600.000000	0.003178	-0.000008	0.002499	0.000383	0.000148	-0.000390	-0.003364	0.002664	0.000176	0.530000	0.100252	0.479937	0.100000	0.300000	0.100000	0.040000	1.032355	0.998417	1.003129	0.999941	0.252999	0.248742	0.249328	0.248931	0.000000	4558.000000	0.000000	43.000000	0.000000
4700.000000	-0.000690	0.001806	0.004485	0.000507	-0.000021	0.000758	-0.002423	0.004679	0.000307	0.530000	0.100000	0.480000	0.100000	0.300000	0.100000	0.040000	1.032332	0.999443	1.000000	1.000000	0.253061	0.248933	0.249003	0.249003	0.000000	4658.000000	0.000000	43.000000	0.000000
4800.000000	0.014450	0.008000	0.000212	-0.000253	-0.000157	0.001256	-0.003072	-0.001721	-0.000439	0.616036	0.105067	0.435715	0.110973	0.300000	0.100000	0.040000	1.032567	0.988843	1.014450	1.000000	0.252959	0.247489	0.250678	0.248874	0.000000	4758.000000	0.000000	43.000000	0.000000
4900.000000	0.000028	0.004316	0.002741	0.000294	-0.000750	0.000521	-0.001521	-0.004877	-0.000001	0.730000	0.100000	0.380000	0.100036	0.300000	0.100000	0.040000	1.032234	0.997833	1.000028	1.000000	0.253101	0.248785	0.249058	0.249055	0.000000	4858.000000	0.000000	43.000000	0.000000
5000.000000	0.011750	0.001728	0.000314	0.000000	0.000198	0.000623	0.001538	0.007574	-0.000077	0.530000	0.100000	0.480000	0.101921	0.150000	0.100000	0.040000	1.032362	0.993297	1.011683	0.999921	0.252890	0.247999	0.250289	0.248822	0.000000	4958.000000	0.000000	43.000000	0.000000
5100.000000	-0.011154	-0.003525	-0.001756	0.000432	0.000261	-0.001199	0.001327	-0.000796	0.000151	0.569784	0.205748	0.433671	0.100000	0.150000	0.100000	0.040000	1.034127	1.007374	0.999913	1.001652	0.252931	0.249570	0.248641	0.248857	0.000000	5058.000000	0.000000	43.000000	0.000000
5200.000000	-0.002849	0.003262	-0.007572	0.000983	0.000382	0.000809	-0.001264	-0.006464	0.000183	0.730000	0.100000	0.380000	0.100000	0.276419	0.100000	0.040000	1.039959	0.999798	0.999873	1.007419	0.253541	0.248500	0.248510	0.249449	0.000000	5158.000000	0.000000	43.000000	0.000000
5300.000000	0.010431	0.001212	-0.000852	0.000269	0.000718	-0.000189	0.000871	-0.002800	-0.000126	0.669993	0.100000	0.410003	0.103139	0.150000	0.100000	0.040000	1.033285	0.994206	1.010190	1.000565	0.252976	0.248081	0.250072	0.248871	0.000000	5258.000000	0.000000	43.000000	0.000000
5400.000000	-0.017797	-0.001204	-0.001861	0.000770	0.000104	-0.001272	0.005269	-0.010474	0.000374	0.730000	0.136125	0.370969	0.100000	0.150000	0.100000	0.040000	1.034210	1.009581	0.999965	1.001819	0.252862	0.249768	0.248570	0.248800	0.000000	5358.000000	0.000000	43.000000	0.000000
5500.000000	0.005765	0.000187	0.000930	-0.000309	0.000322	-0.000389	0.002610	-0.002567	-0.000314	0.658340	0.106184	0.414284	0.107855	0.150000	0.100000	0.040000	1.032688	0.997032	1.005657	0.999871	0.252996	0.248526	0.249600	0.248879	0.000000	5458.000000	0.000000	43.000000	0.000000
5600.000000	-0.009351	-0.000154	0.003002	0.000079	0.000022	0.000086	-0.003622	-0.016292	-0.000018	0.730000	0.104626	0.378843	0.100445	0.300000	0.100000	0.040000	1.032338	1.004774	0.999993	0.999991	0.252894	0.249433	0.248837	0.248837	0.000000	5558.000000	0.000000	43.000000	0.000000
5700.000000	0.012002	0.000084	0.000694	0.000351	0.000423	-0.000213	0.000862	0.003761	0.000185	0.530000	0.100000	0.480000	0.100000	0.150000	0.100000	0.040000	1.032393	0.993993	1.011859	0.999831	0.252869	0.248060	0.250286	0.248785	0.000000	5658.000000	0.000000	43.000000	0.000000
5800.000000	0.002488	-0.000262	0.000822	0.000200	0.000023	-0.000877	0.005245	-0.011832	0.000121	0.730000	0.107872	0.378032	0.100000	0.150000	0.100000	0.040000	1.032338	0.998889	1.002481	0.999991	0.253001	0.248805	0.249252	0.248942	0.000000	5758.000000	0.000000	43.000000	0.000000
5900.000000	0.001047	0.000584	-0.001455	0.000030	0.000068	0.000213	0.000574	-0.002658	-0.000064	0.662917	0.100000	0.413541	0.101604	0.150000	0.100000	0.040000	1.033799	0.999185	1.001024	1.001427	0.253130	0.248787	0.249016	0.249066	0.000000	5857.000000	0.000000	44.000000	0.000000
6000.000000	0.005740	0.000481	0.001911	0.000074	0.000106	0.000653	-0.004830	-0.004019	0.000095	0.730000	0.100000	0.380000	0.100000	0.300000	0.100000	0.040000	1.032350	0.996898	1.005704	0.999958	0.252964	0.248520	0.249616	0.248900	0.000000	5957.000000	0.000000	44.000000	0.000000
6100.000000	-0.014588	-0.001276	-0.002634	-0.000191	0.000109	-0.000793	0.007460	0.002852	-0.000097	0.530000	0.142101	0.469475	0.102413	0.150000	0.100000	0.040000	1.035175	1.007986	0.999964	1.002591	0.252980	0.249564	0.248565	0.248892	0.000000	6057.000000	0.000000	44.000000	0.000000
6200.000000	-0.007018	-0.000578	0.003114	-0.000080	-0.000214	-0.001281	0.013155	0.000291	-0.000078	0.530000	0.118937	0.475266	0.101962	0.150000	0.100000	0.040000	1.032386	1.003811	1.000000	1.000000	0.252928	0.249340	0.248866	0.248866	0.000000	6157.000000	0.000000	44.000000	0.000000
6300.000000	0.018835	-0.000431	0.002705	0.000151	0.000229	0.000025	-0.001558	0.003215	0.000360	0.530000	0.112920	0.476770	0.100000	0.300000	0.100000	0.040000	1.032366	0.990886	1.018757	0.999908	0.252743	0.247555	0.251029	0.248674	0.000000	6257.000000	0.000000	44.000000	0.000000
